Train No	Train Name
7109	SABARIMALAI SPECIAL
7110	SABARIMALAI SPL
7111	SKZR-QLN SABARIMALAI-SPLS
7112	QLN-SC-SABARMALAI SPLS
7113	KRMR QLN SPL
7115	HYB-QLN SABARIMALAI SPL
7116	QLN-HYB SABARIMALAI SPL
7117	SC-NLR-HOLIDAY SPL
7118	NLR-SC HOLIDAY-SPL
7119	SC-NSL SPL
7120	NSL-SC SPL
7125	HYB-AII-HYB SPL
7126	HYB-AII-HYB
7129	KCG AII SPL
7130	AII-KCG-AII SPL
7131	MTM  AII  SPL
7145	NED  AWB  SPL
7146	AWB NED SPL
7147	VSKP HYB SPECIAL
7148	HYB  VSKP SPL
7149	SC-GHY HOLIDAY SPL
7150	GHY-SC HOLIDAY SPL
7151	KZJ-NED SPL
7202	SC-CCT SPL
7205	NSL-CCT SPL
7206	CCT-NSL SPL
7207	BZA-LPI HOLIDAY SPL
7208	LPI-BZA-HOLIDAY SPL
7211	CCT-QLN SABARIMALAI SPL
7212	QLN-CCT SABARIMALAI SPL
7214	QLN-BZA SABARIMALAI SPLS
7215	MTM-QLN-SABARIMALAI SPLS
7216	QLN-MTM SABARIMALAI SPLS
7217	NS-KOLLAM SABARIMALA SPLS
7218	QLN-NS-SABARIMALAI SPLS
7219	BZA-QLN SABARIMALAI SPL
7220	QLN-BZA SABARIMALAI SPLS
7221	MTM-QLN-SABARIMALAI SPLS
7222	QLN-MTM SABARIMALAI SPLS
7223	SC-KRNT INNAUGRAL SPL
7224	KRNT-SC INNAUGURAL SPL
7227	OGL-AII SPL
7228	AII OGL MTM SPL
7229	GNT-TPTY-HOLIDAY SPL
7230	TPTY-GNT-HOLIDAY-SPL
7233	RU-SC JANATHA SPL
7234	AWB-RU JANATHA SPL
7239	KUMBMELA PL
7240	KUMB MELA SPL
7307	MYS-SBC SPECIAL
7308	SBC-MYS SPECIAL
7313	MAS-UBL EXPRESS SPECIAL
7314	UBL-MAS EXPRESS SPECIAL
7315	VELANKANNI EXP
7316	VLNK VSG EXP
7405	AWB-TPTY-SPL
7406	TPTY-AWB-SPECIAL
7407	TPTY ADB SPL
7429	HYB-RU HOLIDAY SPL
7430	RU-HYB-HOLIDAY SPL
7490	RU GKP SPL
7501	PAU-PARLI SPL
7502	PARLI-PAU SPL
7503	AWB TPTY SPL
7505	AWB-SC  HOLIDAY SPL
7506	QLN-TPTY SABARIMALAI SPLS
7509	ADB QLN SPL
7511	NED ALD SPL
7512	JAT-NED SPL
7513	NED-JAT SPL
7514	KUMBAMELA SPL
7603	KCG KMC SPL
7604	KMC KCG SPL
7605	MAQ-KCG SPL
7606	KCG-MAQ SPL
7613	NZB-QLN SABARIMALAI SPL
7614	QLN-NZB
7615	KCG-MDU INAUGURALSPL
7616	MDU-KCG INAUGURAL SPL
7629	NED-PA-HOLIDAY SPL
