319,ASAF,ASIFABAD ROAD,"19.256782,79.416819"
320,ASAN,ASAN,"29.40102,76.882324"
321,ASAR,ASARA HALT,"0,0"
322,ASB,ASANBONI,"22.712144,86.313658"
323,ASCE,ATHSARAI,"25.68222,81.255913"
324,ASD,AMBASAMUDRAM,"8.7079316,77.4386834"
325,ASE,ASAUDAH,"28.73695776,76.85919285"
326,ASH,AISHBAGH,"26.859069,80.917826"
327,ASI,ARSENI,"27.243374,80.39413"
328,ASJP,AMARSAHID JAGDEO PD.,"25.560407,84.410019"
329,ASK,ARSIKERE JN,"13.314235,76.2518948"
330,ASKN,ASHOK NAGAR,"24.58028,77.726855"
331,ASKR,ASHOK NAGAR RD,"22.826544,88.628511"
332,ASL,ASLAODA,"23.229673,75.615292"
333,ASLU,ASLU,"28.369048,75.074902"
334,ASM,ASARMA,"21.461856,73.100281"
335,ASN,ASANSOL JN,"23.691101,86.974812"
336,ASO,ASANGAON,"19.439238,73.307819"
337,ASP,ASPARI,"15.455004,77.356453"
338,ASR,AMRITSAR JN,"31.631752,74.858265"
339,ASSH,AISHBAGH,"26.836058,80.908586"
340,AST,ASAOTI,"28.251318,77.324009"
341,ASV,ASARVA JN,"23.043721,72.612677"
342,AT,ASNOTI,"14.876276,74.147673"
343,ATA,ATA,"26.067577,79.651179"
344,ATB,ALATTAMBADI,"10.578778,79.640751"
345,ATC,ARTS COLLEGE,"17.41846,78.519995"
346,ATDA,ATLADARA,"22.275376,73.153882"
347,ATE,ATARRA,"25.291267,80.576391"
348,ATG,ATGAON,"19.467725,73.300352"
349,ATH,ANTAH,"25.1610171,76.3071084"
350,ATKS,ATWA KURSATH,"27.13523,80.280447"
351,ATL,ATHMAL GOLA,"25.45335,85.62315"
352,ATM,ALTAGRAM,"26.607791,88.946342"
353,ATMO,AITHAL,"29.805199,78.041382"
354,ATNR,AWATARNAGAR,"25.764726,84.957104"
355,ATP,ANANTAPUR,"14.686228,77.595062"
356,ATPA,AWANTIPURA,"33.894678,74.981861"
357,ATQ,ARANTANGI,"10.171671,79.003029"
358,ATR,ATTAR,"21.998764,76.204948"
359,ATRR,ATRAURA,"25.316602,82.314506"
360,ATRU,ATRU,"24.8820454,76.6701285"
361,ATS,ATTABIRA,"21.387869,83.792467"
362,ATT,ATARI,"31.594474,74.606781"
363,ATU,ATTUR,"11.595068,78.592372"
364,ATUL,ATUL,"20.548258,72.927932"
365,ATW,ATWA MUTHIA HALT,"27.27397,80.415459"
366,AUB,ALUABARI ROAD,"26.269481,88.18541"
367,AUBR,ANUGRAHA N ROAD,"24.8555556,84.3294444"
368,AUI,AURAHI,"25.822531,87.134564"
369,AUL,AGSAULI,"27.705567,78.444443"
370,AUN,AURANG NAGAR,"29.044315,75.974922"
371,AUNG,AUNG,"26.16424,80.544505"
372,AUR,ATRAULI ROAD,"28.081712,78.206949"
373,AUS,ANUPSHAHR,"28.965496,75.200558"
374,AUWA,AUWA,"25.665047,73.564453"
375,AV,ASVALI,"19.817421,73.751135"
376,AVD,AVADI,"13.118017,80.100288"
377,AVK,ARAVANKADU,"11.359464,76.769543"
378,AVL,AMRITVEL,"21.077012,71.679311"
379,AVLI,ARAVALLI,"16.620031,81.598635"
380,AVN,ANAVARDIKHANPET,"13.05088406,79.56773043"
381,AVP,ABHANPUR JN,"21.052623,81.745319"
382,AVRD,ARAVALI ROAD,"17.316431,73.53806"
383,AVS,AUVANESWSAREM,"9.036833,76.853127"
384,AVT,AVATIHALLI  H,"13.298882,77.726469"
385,AWB,AURANGABAD,"19.859566,75.310936"
386,AWG,AWA GARH,"27.463957,78.47311"
387,AWH,ALEWAHI,"20.3884,79.710617"
388,AWL,ALAWALPUR,"31.425514,75.642586"
389,AWM,ASWAPURAM,"17.821017,80.80101"
390,AWP,AGHWANPUR,"28.939942,78.703265"
391,AWR,ALWAR,"27.559493,76.621485"
392,AWT,ALWAR TIRUNAGRI,"8.602026,77.941539"
393,AWY,ALWAYE,"10.107923,76.356268"
394,AXA,AMARSAR,"22.585801,70.91692"
395,AXK,ASOKHAR,"26.525879,78.556194"
396,AXR,ALLURU ROAD,"14.710471,79.988966"
397,AY,AYODHYA,"26.787874,82.200694"
398,AYB,ALIYABAD,"16.877818,75.757856"
399,AYD,AYANDUR,"11.966952,79.34103"
400,AYI,AYINGUDI,"10.242163,79.124737"
401,AYM,ADIYAKKAMUNGALM,"10.757088,79.68092"
402,AYN,AIYANAPURAM,"10.788707,78.929193"
403,AYR,AYYALUR,"10.483381,78.157039"
404,AYRN,AKSHAYWAT RAI NAGAR,"25.696375,85.28017"
405,AYU,ABHAYAPURI ASAM,"26.356959,90.642056"
406,AYV,ARYANKAVU,"8.9812442,77.1529269"
407,AZ,AZIMGANJ JN,"24.218553,88.256264"
408,AZA,AZARA,"26.09903,91.613617"
409,AZK,AZHWARKURICHI,"8.789065,77.375507"
410,AZP,AYYAMPET,"10.896357,79.206791"
411,AZR,AZAMNAGAR ROAD,"25.555799,87.852473"
412,BA,BANDRA,"19.05466443,72.84066439"
413,BAA,BARALA,"24.300952,88.040271"
414,BAAR,BANDAR PH,"22.052312,88.087006"
415,BAB,BABINA,"25.238252,78.452168"
416,BABR,BALANAGAR,"16.947742,78.189011"
417,BAC,BARGACHIA,"22.666888,88.137753"
418,BAD,BAD,"27.3958506,77.68956184"
419,BADK,BARKA,"29.074044,77.273755"
420,BADR,BHADER,"21.36477,70.928679"
421,BAE,BALIAKHERI,"29.92842,77.6336"
422,BAF,BAP,"27.342952,72.384281"
423,BAGA,BHAGEGA,"27.67729995,75.72097996"
424,BAGD,BAGWADA,"20.43956,72.916946"
425,BAGJ,BARHARAGANI,"26.919315,83.907566"
426,BAGL,BARA GOPAL,"25.764958,84.906635"
427,BAH,BHABHAR,"24.06498,71.615474"
428,BAHI,BALENAHALLI,"14.250241,76.566296"
429,BAHN,BABHANGAON,"0,0"
430,BAHP,BAND HAMIRPUR,"26.32973,80.744362"
431,BAHW,BAHIR KHANDA,"22.851579,88.070698"
432,BAI,BASSI,"26.840767,76.047363"
433,BAJ,BHALEJ,"22.63255,73.034019"
434,BAJE,BAJAKARE HALT,"12.720726,75.509205"
435,BAJN,BAJANA,"23.10207524,71.77241677"
436,BAK,BHAN KARI,"26.975321,76.437378"
437,BAKA,BANKA,"24.878027,86.916103"
438,BAKL,BAKAL,"21.124077,80.941386"
439,BAKT,BARHARA KOTHI,"25.776842,87.096219"
440,BAL,BUDALUR,"10.783143,78.981743"
441,BALE,BALE,"17.672484,75.855017"
442,BALI,BHAILI,"22.266222,73.131523"
443,BALR,BAITALPUR,"26.5521834,83.7380772"
444,BALT,BALTIKURI JN.,"22.606513,88.292409"
445,BALU,BALUGAN,"19.747276,85.200863"
446,BAM,BERHAMPUR,"19.2964248,84.7969812"
447,BAMA,BIRAMBAD,"26.922453,77.32461"
448,BAMR,BAMUR,"21.006638,84.475765"
449,BAND,BANASWADI,"13.00577,77.628236"
450,BANE,BASNI,"26.223103,73.010779"
451,BANI,BANI,"26.226988,81.620436"
452,BANO,BANO,"22.649839,84.896078"
453,BAO,BANMOR,"26.355435,78.0987972"
454,BAOL,BAOLI,"29.136944,77.277832"
455,BAP,BELAPUR,"19.6195829,74.6625491"
456,BAPR,BALLUPUR,"27.593957,79.106026"
457,BAQ,GANJ BASODA,"23.845257,77.944736"
458,BAR,BAR,"26.063028,74.113169"
459,BARA,BILARA,"26.186164,73.700044"
460,BARD,DUVRI KALAN,"23.993781,81.507568"
461,BARH,BARH,"25.46172,85.709496"
462,BARI,BARI,"26.64979846,77.61791468"
463,BARJ,BHARATGARH,"31.0991,76.596422"
464,BARL,BARAL,"28.494342,77.810225"
465,BARN,BARANAGAR ROAD,"22.6534228,88.37864077"
466,BARU,BAHARU,"22.205008,88.44419"
467,BASA,BANOSA,"20.923604,77.325554"
468,BASN,BHAINSWAN,"29.093902,76.680279"
469,BAT,BATALA JN,"31.8215316,75.1944816"
470,BATL,BAIHATOLA,"23.231014,82.05843"
471,BATM,BATALA SUGAR ML,"31.857166,75.228753"
472,BATS,BHATSAR,"23.635246,72.062073"
473,BAU,BURHANPUR,"21.3342676,76.1985487"
474,BAV,BARUVA,"18.901008,84.554493"
475,BAW,CHIK BANAVAR,"13.073919,77.506721"
476,BAWA,BALWARA,"25.510996,72.551651"
477,BAWD,BHADWAD,"21.32308915,74.09824697"
478,BAY,BELLARY JN,"15.145375,76.922235"
479,BAYD,BEYAD,"23.216264,73.207226"
480,BAZ,BARAN,"25.0965201,76.5048784"
481,BBA,BABRALA,"28.2666132,78.4035337"
482,BBAE,BAIDYABATI,"22.79529199,88.33183765"
483,BBAI,BHADBHUNJA,"21.165924,73.693414"
484,BBAR,BARA,"0,0"
485,BBC,BHACHHBAR,"25.73187,71.044464"
486,BBCE,BULBULCHANDI,"24.970964,88.241501"
487,BBD,BABLAD,"17.337079,76.778769"
488,BBDB,BENOYBADALDINESHBAG,"22.576757,88.346568"
489,BBDE,BABARPUR,"29.449912,76.966438"
490,BBE,BAGHI BARDIHA,"24.953067,85.623322"
491,BBGN,BARUA BAMUNGAON,"26.661727,93.944263"
492,BBHT,BARABAR HALT,"0,0"
493,BBI,BARA BANI,"23.743555,87.019615"
494,BBJ,BABAGANJ,"27.96393,81.568251"
495,BBK,BARABANKI JN,"26.935385,81.18109"
496,BBKR,BABA BAKALARAYA,"31.541675,75.238667"
497,BBL,BALRAI,"26.931942,78.807549"
498,BBLA,BHYABLA HALT,"22.65469,88.855362"
499,BBLK,B L DASPURI,"27.317713,79.366865"
500,BBM,BARABHUM,"23.0916864,86.2116372"
501,BBMN,BARI BRAHMAN,"32.63914,74.916351"
502,BBN,BARBIL,"22.104567,85.369048"
503,BBO,BABUGARH,"28.747343,77.855473"
504,BBPM,BALABHADRAPURAM,"16.96609143,82.00066566"
505,BBPR,BABUPUR,"27.349661,81.070004"
506,BBQ,BASIN BRIDGE JN,"13.102521,80.271381"
507,BBR,BAG BAZAR,"22.60519587,88.36531556"
508,BBS,BHUBANESWAR,"20.265498,85.842705"
509,BBT,BIRATI,"22.66471,88.427603"
510,BBTR,BARBATPUR,"22.196743,77.920468"
511,BBU,BHABUA ROAD,"25.173097,83.619003"
512,BBV,BABHULGOAN,"17.778276,75.383377"
513,BBW,BODARWAR,"26.874,83.632736"
514,BBY,BHADROLI,"26.30588,78.181286"
515,BC,BAREILLY CITY,"28.3556464,79.403708"
516,BCA,BACHWARA JN,"25.5813776,85.9002624"
517,BCB,BHOWRA JN.,"23.67033,86.416569"
518,BCD,BANSDIH ROAD,"25.8113032,84.214958"
519,BCGM,BAINCHIGRAM,"23.10625031,88.21666817"
520,BCH,BERCHHA,"23.2828908,76.3346029"
521,BCHL,BACHELI,"18.703631,81.238704"
522,BCHN,BOCHASAN JN,"22.401823,72.847423"
523,BCHR,BACHAR,"21.949096,73.164482"
524,BCJ,BAGAHABISHUNPUR,"24.811668,84.204858"
525,BCK,BALICHAK,"22.35775589,87.55292416"
