Station Code	Station Name	Station Coordinates
AZP	AYYAMPET	"10.896357,79.206791"
AZR	AZAMNAGAR ROAD	"25.555799,87.852473"
BA	BANDRA	"19.05466443,72.84066439"
BAA	BARALA	"24.300952,88.040271"
BAAR	BANDAR PH	"22.052312,88.087006"
BAB	BABINA	"25.238252,78.452168"
BABR	BALANAGAR	"16.947742,78.189011"
BAC	BARGACHIA	"22.666888,88.137753"
BAD	BAD	"27.3958506,77.68956184"
BADK	BARKA	"29.074044,77.273755"
BADR	BHADER	"21.36477,70.928679"
BAE	BALIAKHERI	"29.92842,77.6336"
BAF	BAP	"27.342952,72.384281"
BAGA	BHAGEGA	"27.67729995,75.72097996"
BAGD	BAGWADA	"20.43956,72.916946"
BAGJ	BARHARAGANI	"26.919315,83.907566"
BAGL	BARA GOPAL	"25.764958,84.906635"
BAH	BHABHAR	"24.06498,71.615474"
BAHI	BALENAHALLI	"14.250241,76.566296"
BAHN	BABHANGAON	"0,0"
BAHP	BAND HAMIRPUR	"26.32973,80.744362"
BAHW	BAHIR KHANDA	"22.851579,88.070698"
BAI	BASSI	"26.840767,76.047363"
BAJ	BHALEJ	"22.63255,73.034019"
BAJE	BAJAKARE HALT	"12.720726,75.509205"
BAJN	BAJANA	"23.10207524,71.77241677"
BAK	BHAN KARI	"26.975321,76.437378"
BAKA	BANKA	"24.878027,86.916103"
BAKL	BAKAL	"21.124077,80.941386"
BAKT	BARHARA KOTHI	"25.776842,87.096219"
BAL	BUDALUR	"10.783143,78.981743"
BALE	BALE	"17.672484,75.855017"
BALI	BHAILI	"22.266222,73.131523"
BALR	BAITALPUR	"26.5521834,83.7380772"
BALT	BALTIKURI JN.	"22.606513,88.292409"
BALU	BALUGAN	"19.747276,85.200863"
BAM	BERHAMPUR	"19.2964248,84.7969812"
BAMA	BIRAMBAD	"26.922453,77.32461"
BAMR	BAMUR	"21.006638,84.475765"
BAND	BANASWADI	"13.00577,77.628236"
BANE	BASNI	"26.223103,73.010779"
BANI	BANI	"26.226988,81.620436"
BANO	BANO	"22.649839,84.896078"
BAO	BANMOR	"26.355435,78.0987972"
BAOL	BAOLI	"29.136944,77.277832"
BAP	BELAPUR	"19.6195829,74.6625491"
BAPR	BALLUPUR	"27.593957,79.106026"
BAQ	GANJ BASODA	"23.845257,77.944736"
BAR	BAR	"26.063028,74.113169"
BARA	BILARA	"26.186164,73.700044"
BARD	DUVRI KALAN	"23.993781,81.507568"
BARH	BARH	"25.46172,85.709496"
BARI	BARI	"26.64979846,77.61791468"
BARJ	BHARATGARH	"31.0991,76.596422"
BARL	BARAL	"28.494342,77.810225"
BARN	BARANAGAR ROAD	"22.6534228,88.37864077"
BARU	BAHARU	"22.205008,88.44419"
BASA	BANOSA	"20.923604,77.325554"
BASN	BHAINSWAN	"29.093902,76.680279"
BAT	BATALA JN	"31.8215316,75.1944816"
BATL	BAIHATOLA	"23.231014,82.05843"
BATM	BATALA SUGAR ML	"31.857166,75.228753"
BATS	BHATSAR	"23.635246,72.062073"
BAU	BURHANPUR	"21.3342676,76.1985487"
BAV	BARUVA	"18.901008,84.554493"
BAW	CHIK BANAVAR	"13.073919,77.506721"
BAWA	BALWARA	"25.510996,72.551651"
BAWD	BHADWAD	"21.32308915,74.09824697"
BAY	BELLARY JN	"15.145375,76.922235"
BAYD	BEYAD	"23.216264,73.207226"
BAZ	BARAN	"25.0965201,76.5048784"
BBA	BABRALA	"28.2666132,78.4035337"
BBAE	BAIDYABATI	"22.79529199,88.33183765"
BBAI	BHADBHUNJA	"21.165924,73.693414"
BBAR	BARA	"0,0"
BBC	BHACHHBAR	"25.73187,71.044464"
BBCE	BULBULCHANDI	"24.970964,88.241501"
BBD	BABLAD	"17.337079,76.778769"
BBDB	BENOYBADALDINESHBAG	"22.576757,88.346568"
BBDE	BABARPUR	"29.449912,76.966438"
BBE	BAGHI BARDIHA	"24.953067,85.623322"
BBGN	BARUA BAMUNGAON	"26.661727,93.944263"
BBHT	BARABAR HALT	"0,0"
BBI	BARA BANI	"23.743555,87.019615"
BBJ	BABAGANJ	"27.96393,81.568251"
BBK	BARABANKI JN	"26.935385,81.18109"
BBKR	BABA BAKALARAYA	"31.541675,75.238667"
BBL	BALRAI	"26.931942,78.807549"
BBLA	BHYABLA HALT	"22.65469,88.855362"
BBLK	B L DASPURI	"27.317713,79.366865"
BBM	BARABHUM	"23.0916864,86.2116372"
BBMN	BARI BRAHMAN	"32.63914,74.916351"
BBN	BARBIL	"22.104567,85.369048"
BBO	BABUGARH	"28.747343,77.855473"
BBPM	BALABHADRAPURAM	"16.96609143,82.00066566"
BBPR	BABUPUR	"27.349661,81.070004"
BBQ	BASIN BRIDGE JN	"13.102521,80.271381"
BBR	BAG BAZAR	"22.60519587,88.36531556"
